ID_COMERCIO,CIUDAD,PROVINCIA,DIRECCION,Name,geometry
460,QUITO,PICHINCHA,Calle Martha de Bucaran de Roldos y pasaje 08 . Cdla Ibarra  pasando un mercado municipal a 3 cuadras. ,La Ecuatoriana,POINT (-78.56540699999999 -0.2989792)
473,QUITO,PICHINCHA,Capitan Ramos N 10-90 y 10 de Agosto,La Luz,POINT (-78.48277469999999 -0.1502558)
484,QUITO,PICHINCHA,Calle Luis Franco Lopez barrio Mariscal Ayacucho parroquia la Mena,Chillogallo,POINT (-78.5532874 -0.2758066)
488,QUITO,PICHINCHA,Barrio San Isidro del Inca Calle Nogales No. 1116 Mz 20,San Isidro del Inca,POINT (-78.46517780000001 -0.1473308)
499,QUITO,PICHINCHA,AVENIDA AMAZONAS ENTRE JOSÉ DE VILLALENGUA Y UNIÓN NACIONAL DE PERIODISTAS . PARROQUIA IÑAQUITO,Iñaquito,POINT (-78.4850696 -0.1745589)
503,GUAYAQUIL,GUAYAS,AV. MARIN CALLE 19 E NO 13-14-15-16 Y AV ISRAEL AV 36 NO ,Juan Montalvo,POINT (-79.91852 -2.1259464)
515,SAMBORONDON,GUAYAS,KM  9 VIA SAMBORONDON CENTRO COMERCIAL CIUDAD CELESTE LOCAL #2,Ciudad Celeste,POINT (-79.8421714 -2.0731271)
613,QUITO,PICHINCHA,PARROQUIA CHILLOGALLO AV PEDRO VICENTE MALDONADO Y LEONIDAS DUBLES ,Turubamba,POINT (-78.55022030000001 -0.3272894)
621,QUITO,PICHINCHA,COOP PUEBLO SOLO PUEBLO MZ 11 LOTE 7,Quitumbe,POINT (-78.54932429999999 -0.3070842)
544,GUAYAQUIL,GUAYAS,CIUDADELA ALBORADA X ETAPA  MZ 111. AVENIDA BENJAMIN CARRION S/N Y CALLE TERCERA C.C. LA ROTONDA LOCALES 21-22-23-24 Frente al City Mall. (Dentro del C.C. LA ROTONDA. el local es diagonal al patio de comidas),Alborada,POINT (-79.908327 -2.138869)
549,GUAYAS,GUAYAQUIL,LOS ROSALES II  MANZANA 665 SOLAR 2 ,Rosales,POINT (-79.90779000000001 -2.120403)
551,GUAYAQUIL,GUAYAS,COOP MARIUXI FEBRES CORDERO CALLE 57B MZ 63 SL 12ESQ FRENTE AL HOSPITAL GENERAL SUR ,Guasmo Sur,POINT (-79.89540700000001 -2.275136)
574,GUAYAQUIL,GUAYAS,CALLE 54 E INTERSECCION CON CALLE PUBLICA S/N  ESQ MZ 1223 LOTES 15-16-17-18,Guasmo Oeste,POINT (-79.904308 -2.254487)
579,GUAYAQUIL,GUAYAS,COMUNA CHONGON SL 4 MZ 80,Chongon,POINT (-80.07795 -2.235766)
