Name,ipm,pop
Flor de Bastion,0.2698268467905603,425477.773436907
Isla Trinitaria,0.2676720488746551,526388.0141831011
El Fortin,0.2626208492253394,133991.21661647456
Pascuales,0.26020171200656156,108649.723775369
Guasmo Sur,0.24906840410711267,680427.5510472059
Nueva Prosperina,0.24285728766825354,206219.51247553725
Bastion Popular,0.23065494333656153,517830.5865372508
Abel Gilbert,0.22694976090806762,183177.55937398926
Batallon del Suburbio,0.2264723658602477,299078.2326510021
Mapasingue,0.22263814859049105,208037.6901250194
Puerto Lisa,0.19649667484945513,316642.72890760057
Febres Cordero,0.19274791617853976,408043.97321110655
Juan Montalvo,0.1911663693773833,303308.23410883185
Parroquia Garcia Moreno,0.18823040300164,214709.1155290513
Parroquia Letamendi,0.18549148182155883,300981.5192692372
La Ecuatoriana,0.18266259701559956,63988.83787276092
San Juan,0.17974423761222164,222357.76389590115
Cristo del Consuelo,0.179138823355635,150387.00835357595
Centro Historico,0.17613746209720085,90108.72746180205
Floresta,0.17564613648710825,261838.83657093951
Guamani,0.1737265639229666,177447.6750147005
Chillogallo,0.17339248258432652,39109.709987040595
Guasmo Norte - Rio Guayas,0.16786514047362666,256380.4306334129
Acacias,0.16353217354758173,21080.06474673817
Vergeles,0.1606439306127244,27354.870842901993
Guayacanes,0.15888316474348696,46620.416345490565
Quitumbe,0.15776320290655543,345894.4760710142
Guasmo Oeste,0.15068403296592608,272395.4239508707
El Inca,0.14933397512302926,129793.18875846853
Atahualpa,0.1453986255434438,80781.23877869308
El Pintado,0.13854744425523005,147609.04954006057
San Isidro del Inca,0.13833817135060053,232214.97587740188
Rosales,0.1376679176524896,28392.05630111335
Comite del Pueblo,0.13034303574523698,225881.88522424357
Mucho Lote,0.1189676872766734,250670.2440457661
Turubamba,0.11714001002830352,171905.24652479647
Guanguala,0.11328038799647468,58378.637535983005
Santa Rita,0.11012317499117809,38611.47241093152
Alborada,0.1096248283734703,94771.2749529574
Sauces,0.10702852065492373,71562.71654422894
Samanes,0.09686177515570807,23838.754904028097
Chimbacalle,0.09263490583221969,197279.13856462305
Bellavista,0.0924973292809551,67717.21794040996
Cotocollao,0.09172016227677117,116136.96657678031
Solanda,0.08594992207488177,57559.708011947994
La Luz,0.06605775375823836,86803.21774163906
Garzota,0.06484697816293046,18242.752480587966
Iñaquito,0.058168326324204545,122046.03136151005
San Carlos,0.05423891266245832,26110.238763163314
