Name,ipm,pop
Flor de Bastion,0.29544002153709253,466495.08365309634
Isla Trinitaria,0.2795263987784515,501596.81970974675
Nueva Prosperina,0.2676304316289494,207454.4009407509
El Fortin,0.2670723583751937,155600.31612355498
Bastion Popular,0.2643961482868717,472898.6126520893
Guasmo Sur,0.24605256975930248,758155.7395885295
Mapasingue,0.2452033453604675,243645.41081393982
Pascuales,0.2402801235086295,104227.4339432823
Batallon del Suburbio,0.23989520662202993,323930.74400618824
Abel Gilbert,0.21783777426519588,187826.4468133503
Cristo del Consuelo,0.21252760854137742,152169.40629382664
Puerto Lisa,0.20633477362375752,330309.48818568536
Febres Cordero,0.19860042262956976,424374.5303279145
Guasmo Norte - Rio Guayas,0.19473167384405182,192252.05704381986
Juan Montalvo,0.19465336240726278,289414.70391548483
Vergeles,0.18306377863013956,50967.29468468857
Parroquia Letamendi,0.1817513008887114,247225.80154908294
Centro Historico,0.1815254576879613,76936.37524411792
Floresta,0.17730512508608706,230595.91050416412
Guayacanes,0.17494597773215875,51488.85486417002
Quitumbe,0.1719402546353188,387569.14461552055
San Juan,0.17151841299959594,354322.34410998435
Guasmo Oeste,0.1691769274328928,235328.35982619756
Guamani,0.16757045203225734,199625.89822630392
Parroquia Garcia Moreno,0.16301292430540673,227684.90112030797
La Ecuatoriana,0.1608124200285072,125702.94908374111
Atahualpa,0.1588242781234393,94139.16483468885
Chillogallo,0.14951872262909968,28002.86094299618
Acacias,0.14840771976157294,37647.61819457267
Mucho Lote,0.14785613692518323,273110.40382431715
Rosales,0.1434662827333903,60055.67046733068
El Inca,0.14030694317048806,147228.00447225885
Comite del Pueblo,0.1350530769897243,235075.82462838007
Sauces,0.1329930794190892,124817.36565419938
El Pintado,0.12893825906594944,146724.80848200913
Samanes,0.12750402843300923,37253.042170887216
Turubamba,0.12385612657777242,177058.96910423477
Bellavista,0.10597064651600122,53682.23254830857
Guanguala,0.10519960394065188,35112.64845460425
Santa Rita,0.1041607670339189,31881.07666242115
Solanda,0.1029985266204024,35822.26738254395
San Isidro del Inca,0.09575347399921749,189880.3869333343
Alborada,0.0936837473154442,74626.35233096467
Cotocollao,0.08869681401811808,73968.554947341
Chimbacalle,0.08606866774319952,142961.9958795197
San Carlos,0.07045502045899664,19577.384359143085
Garzota,0.06846712658345094,54849.26165611735
La Luz,0.05444162714926874,105564.86047281904
Iñaquito,0.04511070579651607,81354.42605533972
