idp,Name,ci,fexp
090150002005Panel Q2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.16666666666666666,538.1121679802246
090150002005Panel Q2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.16666666666666666,538.1121679802246
090150002005Panel Q2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.16666666666666666,538.1121679802246
090150002005Panel Q2Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.16666666666666666,538.1121679802246
090150002005Panel Q2Vivienda UnoHogar UnoPersona 5,Guasmo Sur,0.16666666666666666,538.1121679802246
090150002005Panel Q2Vivienda UnoHogar UnoPersona 6,Guasmo Sur,0.16666666666666666,538.1121679802246
090150002005Panel Q2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.25,538.1121679802246
090150002005Panel Q2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.25,538.1121679802246
090150002005Panel Q2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.4583333333333333,538.1121679802246
090150002005Panel Q2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.4583333333333333,538.1121679802246
090150002005Panel Q2Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.4583333333333333,538.1121679802246
090150002005Panel Q2Vivienda TresHogar UnoPersona 4,Guasmo Sur,0.4583333333333333,538.1121679802246
090150002005Panel Q2Vivienda TresHogar UnoPersona 5,Guasmo Sur,0.4583333333333333,538.1121679802246
090150002005Panel Q2Vivienda TresHogar UnoPersona 6,Guasmo Sur,0.4583333333333333,538.1121679802246
090150002005Panel Q2Vivienda TresHogar UnoPersona 7,Guasmo Sur,0.4583333333333333,538.1121679802246
090150002005Panel Q2Vivienda TresHogar UnoPersona 8,Guasmo Sur,0.4583333333333333,538.1121679802246
090150002005Panel R2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.25,538.1121679802246
090150002005Panel R2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.25,538.1121679802246
090150002005Panel R2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.25,538.1121679802246
090150002005Panel R2Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.25,538.1121679802246
090150002005Panel R2Vivienda UnoHogar UnoPersona 5,Guasmo Sur,0.25,538.1121679802246
090150002005Panel R2Vivienda UnoHogar UnoPersona 6,Guasmo Sur,0.25,538.1121679802246
090150002005Panel R2Vivienda UnoHogar UnoPersona 7,Guasmo Sur,0.25,538.1121679802246
090150002005Panel R2Vivienda UnoHogar UnoPersona 8,Guasmo Sur,0.25,538.1121679802246
090150002005Panel R2Vivienda UnoHogar UnoPersona 9,Guasmo Sur,0.25,538.1121679802246
090150002005Panel R2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.16666666666666666,538.1121679802246
090150002005Panel R2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.16666666666666666,538.1121679802246
090150002005Panel R2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.0,538.1121679802246
090150002005Panel R2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.0,538.1121679802246
