idp,Name,ci,fexp
090150002005Panel K2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel K2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel K2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel K2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel K2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.3125,631.670770669187
090150002005Panel L2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel L2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel L2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel L2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.25,631.670770669187
090150002005Panel L2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.25,631.670770669187
090150002005Panel L2Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.25,631.670770669187
090150002005Panel L2Vivienda DosHogar UnoPersona 4,Guasmo Sur,0.25,631.670770669187
090150002005Panel L2Vivienda DosHogar UnoPersona 5,Guasmo Sur,0.25,631.670770669187
090150002005Panel L2Vivienda DosHogar UnoPersona 6,Guasmo Sur,0.25,631.670770669187
090150002005Panel L2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.41666666666666663,631.670770669187
090150002005Panel L2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.41666666666666663,631.670770669187
090150002005Panel L2Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.41666666666666663,631.670770669187
090150002005Panel L2Vivienda TresHogar UnoPersona 4,Guasmo Sur,0.41666666666666663,631.670770669187
090150002005Panel Q2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.08333333333333333,631.670770669187
090150002005Panel Q2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.08333333333333333,631.670770669187
090150002005Panel Q2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.3125,631.670770669187
090150002005Panel Q2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.3125,631.670770669187
090150002005Panel Q2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.29166666666666663,631.670770669187
090150002005Panel Q2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.29166666666666663,631.670770669187
090150002005Panel Q2Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.29166666666666663,631.670770669187
090150002005Panel Q2Vivienda TresHogar UnoPersona 4,Guasmo Sur,0.29166666666666663,631.670770669187
090150002005Panel Q2Vivienda TresHogar UnoPersona 5,Guasmo Sur,0.29166666666666663,631.670770669187
090150002005Panel Q2Vivienda TresHogar UnoPersona 6,Guasmo Sur,0.29166666666666663,631.670770669187
090150002005Panel Q2Vivienda TresHogar UnoPersona 7,Guasmo Sur,0.29166666666666663,631.670770669187
090150002005Panel R2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel R2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel R2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel R2Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel R2Vivienda UnoHogar UnoPersona 5,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel R2Vivienda UnoHogar UnoPersona 6,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel R2Vivienda UnoHogar UnoPersona 7,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel R2Vivienda UnoHogar UnoPersona 8,Guasmo Sur,0.16666666666666666,631.670770669187
090150002005Panel R2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.25,631.670770669187
090150002005Panel R2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.25,631.670770669187
090150002005Panel R2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.0,631.670770669187
090150002005Panel R2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.0,631.670770669187
090150002005Panel R2Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.0,631.670770669187
090150002005Panel R2Vivienda TresHogar UnoPersona 4,Guasmo Sur,0.0,631.670770669187
090150002005Panel R2Vivienda TresHogar UnoPersona 5,Guasmo Sur,0.0,631.670770669187
090150006005Panel K2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.3125,465.02779542587956
090150006005Panel K2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.3125,465.02779542587956
090150006005Panel K2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.22916666666666666,465.02779542587956
090150006005Panel K2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.22916666666666666,465.02779542587956
090150006005Panel K2Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.22916666666666666,465.02779542587956
090150006005Panel K2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.43749999999999994,465.02779542587956
090150006005Panel K2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.43749999999999994,465.02779542587956
090150006005Panel K2Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.43749999999999994,465.02779542587956
090150006005Panel L2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.3125,465.02779542587956
090150006005Panel L2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.3125,465.02779542587956
090150006005Panel L2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.3125,465.02779542587956
090150006005Panel L2Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.3125,465.02779542587956
090150006005Panel L2Vivienda UnoHogar UnoPersona 5,Guasmo Sur,0.3125,465.02779542587956
090150006005Panel L2Vivienda UnoHogar UnoPersona 6,Guasmo Sur,0.3125,465.02779542587956
090150006005Panel L2Vivienda UnoHogar DosPersona 1,Guasmo Sur,0.375,465.02779542587956
090150006005Panel L2Vivienda UnoHogar DosPersona 2,Guasmo Sur,0.375,465.02779542587956
090150006005Panel L2Vivienda UnoHogar DosPersona 3,Guasmo Sur,0.375,465.02779542587956
090150006005Panel L2Vivienda UnoHogar DosPersona 4,Guasmo Sur,0.375,465.02779542587956
090150006005Panel L2Vivienda UnoHogar DosPersona 5,Guasmo Sur,0.375,465.02779542587956
090150006005Panel L2Vivienda UnoHogar DosPersona 6,Guasmo Sur,0.375,465.02779542587956
090150006005Panel L2Vivienda UnoHogar TresPersona 1,Guasmo Sur,0.20833333333333331,465.02779542587956
090150006005Panel L2Vivienda UnoHogar TresPersona 2,Guasmo Sur,0.20833333333333331,465.02779542587956
090150006005Panel L2Vivienda UnoHogar TresPersona 3,Guasmo Sur,0.20833333333333331,465.02779542587956
090150006005Panel L2Vivienda UnoHogar TresPersona 4,Guasmo Sur,0.20833333333333331,465.02779542587956
090150006005Panel L2Vivienda UnoHogar TresPersona 5,Guasmo Sur,0.20833333333333331,465.02779542587956
090150006005Panel L2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.25,465.02779542587956
090150006005Panel L2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.25,465.02779542587956
090150006005Panel L2Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.25,465.02779542587956
090150006005Panel L2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.25,465.02779542587956
090150006005Panel L2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.25,465.02779542587956
090150006005Panel L2Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.25,465.02779542587956
090150006005Panel L2Vivienda TresHogar UnoPersona 4,Guasmo Sur,0.25,465.02779542587956
090150006005Panel L2Vivienda TresHogar UnoPersona 5,Guasmo Sur,0.25,465.02779542587956
090150006005Panel L2Vivienda TresHogar UnoPersona 6,Guasmo Sur,0.25,465.02779542587956
090150006005Panel L2Vivienda TresHogar UnoPersona 7,Guasmo Sur,0.25,465.02779542587956
090150006005Panel Q2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.08333333333333333,465.02779542587956
090150006005Panel Q2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.08333333333333333,465.02779542587956
090150006005Panel Q2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.08333333333333333,465.02779542587956
090150006005Panel Q2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.22916666666666666,465.02779542587956
090150006005Panel Q2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.22916666666666666,465.02779542587956
090150006005Panel Q2Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.22916666666666666,465.02779542587956
090150006005Panel Q2Vivienda DosHogar UnoPersona 4,Guasmo Sur,0.22916666666666666,465.02779542587956
090150006005Panel Q2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.41666666666666663,465.02779542587956
090150006005Panel Q2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.41666666666666663,465.02779542587956
