idp,Name,ci,fexp
090150010008Panel R2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.08333333333333333,319.9129931
090150010008Panel R2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.08333333333333333,319.9129931
090150010008Panel X2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.14583333333333331,319.9129931
090150010008Panel W2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.08333333333333333,319.9129931
090150010008Panel W2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.08333333333333333,319.9129931
090150010008Panel W2Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.08333333333333333,319.9129931
090150010008Panel W2Vivienda DosHogar UnoPersona 4,Guasmo Sur,0.08333333333333333,319.9129931
090150010008Panel W2Vivienda DosHogar UnoPersona 5,Guasmo Sur,0.08333333333333333,319.9129931
090150010008Panel W2Vivienda Cuatro (reemplazo)Hogar UnoPersona 1,Guasmo Sur,0.14583333333333331,319.9129931
090150010008Panel W2Vivienda Cuatro (reemplazo)Hogar UnoPersona 2,Guasmo Sur,0.14583333333333331,319.9129931
090150010008Panel W2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.25,319.9129931
090150010008Panel W2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.25,319.9129931
090150010008Panel W2Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.25,319.9129931
090150010008Panel X2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.14583333333333331,319.9129931
090150010008Panel X2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.14583333333333331,319.9129931
090150010008Panel Q2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.3125,319.9129931
090150010008Panel Q2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.3125,319.9129931
090150010008Panel Q2Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.3125,319.9129931
090150010008Panel Q2Vivienda DosHogar UnoPersona 4,Guasmo Sur,0.3125,319.9129931
090150010008Panel Q2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.41666666666666663,319.9129931
090150010008Panel Q2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.41666666666666663,319.9129931
090150010008Panel Q2Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.41666666666666663,319.9129931
090150010008Panel Q2Vivienda TresHogar UnoPersona 4,Guasmo Sur,0.41666666666666663,319.9129931
090150010008Panel Q2Vivienda TresHogar UnoPersona 6,Guasmo Sur,0.41666666666666663,319.9129931
090150010008Panel Q2Vivienda TresHogar UnoPersona 5,Guasmo Sur,0.41666666666666663,319.9129931
090150010008Panel Q2Vivienda TresHogar UnoPersona 7,Guasmo Sur,0.41666666666666663,319.9129931
090150010008Panel R2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.0,319.9129931
090150010008Panel R2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.0,319.9129931
090150010008Panel R2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.0,319.9129931
090150010008Panel R2Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.0,319.9129931
090150010008Panel R2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.0,319.9129931
090150010008Panel Q2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.14583333333333331,319.9129931
090150010008Panel Q2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.14583333333333331,319.9129931
090150010008Panel Q2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.14583333333333331,319.9129931
090150010008Panel Q2Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.14583333333333331,319.9129931
090150010008Panel X2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.08333333333333333,319.9129931
090150226006Panel R2Vivienda UnoHogar UnoPersona 3,Febres Cordero,0.16666666666666666,336.2085955
090150226006Panel R2Vivienda UnoHogar UnoPersona 1,Febres Cordero,0.16666666666666666,336.2085955
090150226006Panel R2Vivienda UnoHogar UnoPersona 5,Febres Cordero,0.16666666666666666,336.2085955
090150226006Panel R2Vivienda UnoHogar UnoPersona 2,Febres Cordero,0.16666666666666666,336.2085955
090150226006Panel R2Vivienda UnoHogar UnoPersona 4,Febres Cordero,0.16666666666666666,336.2085955
090150226006Panel Q2Vivienda UnoHogar UnoPersona 5,Febres Cordero,0.16666666666666666,336.2085955
090150226006Panel Q2Vivienda UnoHogar UnoPersona 2,Febres Cordero,0.16666666666666666,336.2085955
090150226006Panel Q2Vivienda UnoHogar UnoPersona 1,Febres Cordero,0.16666666666666666,336.2085955
090150226006Panel Q2Vivienda UnoHogar UnoPersona 3,Febres Cordero,0.16666666666666666,336.2085955
090150226006Panel Q2Vivienda UnoHogar UnoPersona 4,Febres Cordero,0.16666666666666666,336.2085955
090150226006Panel R2Vivienda TresHogar UnoPersona 2,Febres Cordero,0.0,336.2085955
090150226006Panel R2Vivienda TresHogar UnoPersona 1,Febres Cordero,0.0,336.2085955
090150226006Panel X2Vivienda DosHogar UnoPersona 2,Febres Cordero,0.14583333333333331,336.2085955
090150226006Panel X2Vivienda DosHogar UnoPersona 1,Febres Cordero,0.14583333333333331,336.2085955
090150226006Panel X2Vivienda DosHogar UnoPersona 3,Febres Cordero,0.14583333333333331,336.2085955
090150226006Panel Q2Vivienda TresHogar UnoPersona 5,Febres Cordero,0.22916666666666666,336.2085955
090150226006Panel Q2Vivienda TresHogar UnoPersona 1,Febres Cordero,0.22916666666666666,336.2085955
090150226006Panel Q2Vivienda TresHogar UnoPersona 2,Febres Cordero,0.22916666666666666,336.2085955
090150226006Panel Q2Vivienda TresHogar UnoPersona 3,Febres Cordero,0.22916666666666666,336.2085955
090150226006Panel Q2Vivienda TresHogar UnoPersona 4,Febres Cordero,0.22916666666666666,336.2085955
090150226006Panel X2Vivienda TresHogar UnoPersona 1,Febres Cordero,0.0625,336.2085955
090150226006Panel X2Vivienda TresHogar UnoPersona 2,Febres Cordero,0.0625,336.2085955
090150226006Panel X2Vivienda TresHogar UnoPersona 3,Febres Cordero,0.0625,336.2085955
090150226006Panel R2Vivienda DosHogar UnoPersona 1,Febres Cordero,0.3125,336.2085955
090150226006Panel R2Vivienda DosHogar UnoPersona 2,Febres Cordero,0.3125,336.2085955
090150226006Panel R2Vivienda DosHogar UnoPersona 3,Febres Cordero,0.3125,336.2085955
090150226006Panel R2Vivienda DosHogar UnoPersona 4,Febres Cordero,0.3125,336.2085955
090150226006Panel Q2Vivienda DosHogar UnoPersona 1,Febres Cordero,0.3125,336.2085955
090150226006Panel Q2Vivienda DosHogar UnoPersona 2,Febres Cordero,0.3125,336.2085955
090150226006Panel Q2Vivienda DosHogar UnoPersona 3,Febres Cordero,0.3125,336.2085955
090150226006Panel Q2Vivienda DosHogar UnoPersona 6,Febres Cordero,0.3125,336.2085955
090150226006Panel Q2Vivienda DosHogar UnoPersona 4,Febres Cordero,0.3125,336.2085955
090150226006Panel Q2Vivienda DosHogar UnoPersona 5,Febres Cordero,0.3125,336.2085955
090150226006Panel Q2Vivienda DosHogar UnoPersona 7,Febres Cordero,0.3125,336.2085955
090150226006Panel W2Vivienda Cuatro (reemplazo)Hogar UnoPersona 1,Febres Cordero,0.08333333333333333,336.2085955
090150226006Panel X2Vivienda UnoHogar UnoPersona 1,Febres Cordero,0.25,336.2085955
090150226006Panel W2Vivienda UnoHogar UnoPersona 1,Febres Cordero,0.0,336.2085955
090150226006Panel W2Vivienda TresHogar UnoPersona 1,Febres Cordero,0.29166666666666663,336.2085955
090150226006Panel W2Vivienda TresHogar UnoPersona 2,Febres Cordero,0.29166666666666663,336.2085955
090150226006Panel W2Vivienda TresHogar UnoPersona 4,Febres Cordero,0.29166666666666663,336.2085955
090150226006Panel W2Vivienda TresHogar UnoPersona 3,Febres Cordero,0.29166666666666663,336.2085955
090150145003Panel R2Vivienda UnoHogar UnoPersona 5,Parroquia Garcia Moreno,0.08333333333333333,317.2199961
090150145003Panel R2Vivienda UnoHogar UnoPersona 1,Parroquia Garcia Moreno,0.08333333333333333,317.2199961
090150145003Panel R2Vivienda UnoHogar UnoPersona 2,Parroquia Garcia Moreno,0.08333333333333333,317.2199961
090150145003Panel R2Vivienda UnoHogar UnoPersona 3,Parroquia Garcia Moreno,0.08333333333333333,317.2199961
090150145003Panel R2Vivienda UnoHogar UnoPersona 4,Parroquia Garcia Moreno,0.08333333333333333,317.2199961
090150145003Panel X2Vivienda UnoHogar UnoPersona 1,Parroquia Garcia Moreno,0.16666666666666666,317.2199961
090150145003Panel Q2Vivienda DosHogar UnoPersona 1,Parroquia Garcia Moreno,0.3125,317.2199961
090150145003Panel Q2Vivienda DosHogar UnoPersona 2,Parroquia Garcia Moreno,0.3125,317.2199961
