idp,Name,ci,fexp
090150002005Panel A2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.5208333333333333,780.8350403211515
090150002005Panel A2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.5208333333333333,780.8350403211515
090150002005Panel A2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.5208333333333333,780.8350403211515
090150002005Panel A2Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.5208333333333333,780.8350403211515
090150002005Panel A2Vivienda UnoHogar UnoPersona 5,Guasmo Sur,0.5208333333333333,780.8350403211515
090150002005Panel A2Vivienda UnoHogar UnoPersona 6,Guasmo Sur,0.5208333333333333,780.8350403211515
090150002005Panel A2Vivienda UnoHogar UnoPersona 7,Guasmo Sur,0.5208333333333333,780.8350403211515
090150002005Panel A2Vivienda UnoHogar UnoPersona 8,Guasmo Sur,0.5208333333333333,780.8350403211515
090150002005Panel A2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.25,780.8350403211515
090150002005Panel A2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.25,780.8350403211515
090150002005Panel A2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.25,780.8350403211515
090150002005Panel A2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.25,780.8350403211515
090150002005Panel A2Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.25,780.8350403211515
090150002005Panel A2Vivienda TresHogar UnoPersona 4,Guasmo Sur,0.25,780.8350403211515
090150002005Panel A2Vivienda TresHogar UnoPersona 5,Guasmo Sur,0.25,780.8350403211515
090150002005Panel B2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.0625,780.8350403211515
090150002005Panel B2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.0625,780.8350403211515
090150002005Panel B2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.0625,780.8350403211515
090150002005Panel B2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.43749999999999994,780.8350403211515
090150002005Panel B2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.43749999999999994,780.8350403211515
090150002005Panel B2Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.43749999999999994,780.8350403211515
090150002005Panel B2Vivienda DosHogar UnoPersona 4,Guasmo Sur,0.43749999999999994,780.8350403211515
090150002005Panel B2Vivienda DosHogar UnoPersona 5,Guasmo Sur,0.43749999999999994,780.8350403211515
090150002005Panel B2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.3125,780.8350403211515
090150002005Panel B2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.3125,780.8350403211515
090150002005Panel K2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.22916666666666666,780.8350403211515
090150002005Panel K2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.22916666666666666,780.8350403211515
090150002005Panel K2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.3125,780.8350403211515
090150002005Panel K2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.3125,780.8350403211515
090150002005Panel L2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.25,780.8350403211515
090150002005Panel L2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.25,780.8350403211515
090150002005Panel L2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.25,780.8350403211515
090150002005Panel L2Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.25,780.8350403211515
090150002005Panel L2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.3125,780.8350403211515
090150002005Panel L2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.3125,780.8350403211515
090150002005Panel L2Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.3125,780.8350403211515
090150002005Panel L2Vivienda DosHogar UnoPersona 4,Guasmo Sur,0.3125,780.8350403211515
090150002005Panel L2Vivienda DosHogar UnoPersona 5,Guasmo Sur,0.3125,780.8350403211515
090150002005Panel L2Vivienda DosHogar UnoPersona 6,Guasmo Sur,0.3125,780.8350403211515
090150002005Panel L2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.25,780.8350403211515
090150002005Panel L2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.25,780.8350403211515
090150002005Panel L2Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.25,780.8350403211515
090150002005Panel L2Vivienda TresHogar UnoPersona 4,Guasmo Sur,0.25,780.8350403211515
090150002005Panel K2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.3125,780.8350403211515
090150006005Panel A2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.3958333333333333,587.3630301944096
090150006005Panel A2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.3958333333333333,587.3630301944096
090150006005Panel A2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.3958333333333333,587.3630301944096
090150006005Panel A2Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.3958333333333333,587.3630301944096
090150006005Panel A2Vivienda UnoHogar UnoPersona 5,Guasmo Sur,0.3958333333333333,587.3630301944096
090150006005Panel A2Vivienda UnoHogar UnoPersona 6,Guasmo Sur,0.3958333333333333,587.3630301944096
090150006005Panel A2Vivienda UnoHogar UnoPersona 7,Guasmo Sur,0.3958333333333333,587.3630301944096
090150006005Panel A2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.16666666666666666,587.3630301944096
090150006005Panel A2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.16666666666666666,587.3630301944096
090150006005Panel A2Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.16666666666666666,587.3630301944096
090150006005Panel A2Vivienda DosHogar UnoPersona 4,Guasmo Sur,0.16666666666666666,587.3630301944096
090150006005Panel A2Vivienda DosHogar UnoPersona 5,Guasmo Sur,0.16666666666666666,587.3630301944096
090150006005Panel A2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.22916666666666666,587.3630301944096
090150006005Panel A2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.22916666666666666,587.3630301944096
090150006005Panel A2Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.22916666666666666,587.3630301944096
090150006005Panel A2Vivienda TresHogar UnoPersona 4,Guasmo Sur,0.22916666666666666,587.3630301944096
090150006005Panel A2Vivienda TresHogar UnoPersona 5,Guasmo Sur,0.22916666666666666,587.3630301944096
090150006005Panel B2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.29166666666666663,587.3630301944096
090150006005Panel B2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.29166666666666663,587.3630301944096
090150006005Panel B2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.29166666666666663,587.3630301944096
090150006005Panel B2Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.29166666666666663,587.3630301944096
090150006005Panel B2Vivienda UnoHogar UnoPersona 5,Guasmo Sur,0.29166666666666663,587.3630301944096
090150006005Panel B2Vivienda UnoHogar UnoPersona 6,Guasmo Sur,0.29166666666666663,587.3630301944096
090150006005Panel B2Vivienda UnoHogar UnoPersona 7,Guasmo Sur,0.29166666666666663,587.3630301944096
090150006005Panel B2Vivienda UnoHogar UnoPersona 8,Guasmo Sur,0.29166666666666663,587.3630301944096
090150006005Panel B2Vivienda UnoHogar UnoPersona 9,Guasmo Sur,0.29166666666666663,587.3630301944096
090150006005Panel B2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.3125,587.3630301944096
090150006005Panel B2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.3125,587.3630301944096
090150006005Panel B2Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.3125,587.3630301944096
090150006005Panel B2Vivienda DosHogar UnoPersona 4,Guasmo Sur,0.3125,587.3630301944096
090150006005Panel B2Vivienda DosHogar UnoPersona 5,Guasmo Sur,0.3125,587.3630301944096
090150006005Panel K2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.16666666666666666,587.3630301944096
090150006005Panel K2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.16666666666666666,587.3630301944096
090150006005Panel K2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.3125,587.3630301944096
090150006005Panel K2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.3125,587.3630301944096
